rank,test_id
1,T0106
2,T0109
3,T0142
4,T0056
5,T0095
6,T0030
7,T0102
8,T0052
9,T0101
10,T0143
11,T0020
12,T0085
13,T0016
14,T0067
15,T0025
16,T0031
17,T0129
18,T0148
19,T0099
20,T0017
21,T0076
22,T0019
23,T0013
24,T0010
25,T0032
26,T0152
27,T0098
28,T0057
29,T0132
30,T0105
31,T0137
32,T0079
33,T0061
34,T0116
35,T0003
36,T0124
37,T0046
38,T0043
39,T0070
40,T0091
41,T0027
42,T0139
43,T0083
44,T0097
45,T0147
46,T0037
47,T0082
48,T0023
49,T0144
50,T0068
51,T0115
52,T0012
53,T0066
54,T0086
55,T0007
56,T0028
57,T0077
58,T0140
59,T0127
60,T0042
61,T0005
62,T0136
63,T0033
64,T0128
65,T0133
66,T0069
67,T0011
68,T0096
69,T0110
70,T0001
71,T0120
72,T0112
73,T0065
74,T0045
75,T0087
76,T0029
77,T0041
78,T0113
79,T0026
80,T0024
81,T0118
82,T0080
83,T0040
84,T0094
85,T0157
86,T0156
87,T0135
88,T0048
89,T0153
90,T0062
91,T0074
92,T0034
93,T0121
94,T0119
95,T0126
96,T0063
97,T0159
98,T0149
99,T0154
100,T0054
101,T0006
102,T0150
103,T0125
104,T0050
105,T0036
106,T0081
107,T0078
108,T0035
109,T0047
110,T0008
111,T0044
112,T0071
113,T0123
114,T0111
115,T0092
116,T0084
117,T0145
118,T0146
119,T0090
120,T0009
121,T0114
122,T0014
123,T0060
124,T0138
125,T0004
126,T0018
127,T0039
128,T0073
129,T0141
130,T0134
131,T0064
132,T0055
133,T0108
134,T0051
135,T0158
136,T0059
137,T0049
138,T0089
139,T0022
140,T0058
141,T0155
142,T0130
143,T0038
144,T0151
145,T0002
146,T0053
147,T0131
148,T0104
149,T0100
150,T0117
151,T0088
152,T0075
153,T0122
154,T0160
155,T0021
156,T0072
157,T0107
158,T0015
159,T0093
160,T0103
