rank,test_id
1,T0088
2,T0046
3,T0097
4,T0147
5,T0073
6,T0054
7,T0134
8,T0159
9,T0139
10,T0142
11,T0078
12,T0042
13,T0070
14,T0094
15,T0150
16,T0064
17,T0132
18,T0120
19,T0081
20,T0011
21,T0079
22,T0146
23,T0032
24,T0014
25,T0113
26,T0096
27,T0091
28,T0148
29,T0040
30,T0025
31,T0124
32,T0021
33,T0098
34,T0012
35,T0057
36,T0020
37,T0006
38,T0009
39,T0072
40,T0063
41,T0074
42,T0136
43,T0005
44,T0083
45,T0037
46,T0100
47,T0099
48,T0034
49,T0095
50,T0121
51,T0114
52,T0118
53,T0041
54,T0045
55,T0122
56,T0117
57,T0158
58,T0155
59,T0125
60,T0039
61,T0076
62,T0089
63,T0085
64,T0127
65,T0160
66,T0153
67,T0087
68,T0049
69,T0030
70,T0071
71,T0010
72,T0149
73,T0157
74,T0133
75,T0151
76,T0018
77,T0111
78,T0126
79,T0104
80,T0116
81,T0102
82,T0106
83,T0152
84,T0138
85,T0080
86,T0069
87,T0056
88,T0060
89,T0140
90,T0077
91,T0112
92,T0129
93,T0075
94,T0066
95,T0107
96,T0053
97,T0024
98,T0002
99,T0110
100,T0090
101,T0084
102,T0058
103,T0015
104,T0103
105,T0044
106,T0050
107,T0123
108,T0033
109,T0016
110,T0137
111,T0108
112,T0004
113,T0068
114,T0156
115,T0051
116,T0036
117,T0008
118,T0101
119,T0143
120,T0109
121,T0131
122,T0062
123,T0003
124,T0130
125,T0027
126,T0086
127,T0013
128,T0141
129,T0055
130,T0023
131,T0115
132,T0038
133,T0017
134,T0048
135,T0135
136,T0043
137,T0128
138,T0061
139,T0028
140,T0119
141,T0154
142,T0026
143,T0022
144,T0145
145,T0019
146,T0067
147,T0031
148,T0144
149,T0105
150,T0059
151,T0029
152,T0047
153,T0007
154,T0093
155,T0035
156,T0065
157,T0092
158,T0082
159,T0052
160,T0001
