rank,test_id
1,T0020
2,T0072
3,T0040
4,T0120
5,T0001
6,T0101
7,T0153
8,T0038
9,T0066
10,T0127
11,T0094
12,T0056
13,T0089
14,T0011
15,T0051
16,T0039
17,T0046
18,T0138
19,T0003
20,T0012
21,T0031
22,T0016
23,T0013
24,T0148
25,T0098
26,T0079
27,T0070
28,T0132
29,T0106
30,T0068
31,T0002
32,T0115
33,T0151
34,T0116
35,T0018
36,T0083
37,T0103
38,T0067
39,T0082
40,T0160
41,T0140
42,T0136
43,T0058
44,T0073
45,T0093
46,T0010
47,T0081
48,T0130
49,T0142
50,T0087
51,T0057
52,T0023
53,T0063
54,T0144
55,T0147
56,T0109
57,T0078
58,T0077
59,T0091
60,T0107
61,T0117
62,T0021
63,T0119
64,T0099
65,T0044
66,T0102
67,T0005
68,T0055
69,T0095
70,T0149
71,T0009
72,T0014
73,T0006
74,T0034
75,T0032
76,T0060
77,T0131
78,T0064
79,T0080
80,T0155
81,T0097
82,T0158
83,T0043
84,T0110
85,T0152
86,T0041
87,T0145
88,T0084
89,T0015
90,T0114
91,T0139
92,T0150
93,T0045
94,T0007
95,T0104
96,T0025
97,T0071
98,T0123
99,T0024
100,T0019
101,T0053
102,T0047
103,T0122
104,T0154
105,T0100
106,T0129
107,T0096
108,T0008
109,T0156
110,T0028
111,T0075
112,T0126
113,T0157
114,T0086
115,T0125
116,T0027
117,T0135
118,T0030
119,T0026
120,T0108
121,T0042
122,T0143
123,T0004
124,T0137
125,T0054
126,T0105
127,T0048
128,T0085
129,T0062
130,T0134
131,T0029
132,T0121
133,T0049
134,T0074
135,T0113
136,T0061
137,T0033
138,T0141
139,T0037
140,T0133
141,T0118
142,T0076
143,T0035
144,T0112
145,T0090
146,T0124
147,T0128
148,T0036
149,T0159
150,T0088
151,T0111
152,T0092
153,T0146
154,T0052
155,T0017
156,T0059
157,T0022
158,T0050
159,T0065
160,T0069
