rank,test_id
1,T0149
2,T0062
3,T0030
4,T0110
5,T0054
6,T0131
7,T0090
8,T0014
9,T0128
10,T0159
11,T0071
12,T0081
13,T0158
14,T0118
15,T0029
16,T0082
17,T0008
18,T0097
19,T0066
20,T0079
21,T0018
22,T0124
23,T0132
24,T0031
25,T0087
26,T0108
27,T0024
28,T0080
29,T0160
30,T0073
31,T0034
32,T0006
33,T0020
34,T0155
35,T0070
36,T0133
37,T0095
38,T0104
39,T0150
40,T0107
41,T0048
42,T0093
43,T0112
44,T0103
45,T0050
46,T0077
47,T0129
48,T0148
49,T0156
50,T0088
51,T0004
52,T0069
53,T0145
54,T0085
55,T0140
56,T0023
57,T0075
58,T0059
59,T0142
60,T0051
61,T0053
62,T0011
63,T0057
64,T0135
65,T0089
66,T0058
67,T0065
68,T0116
69,T0039
70,T0100
71,T0010
72,T0084
73,T0046
74,T0144
75,T0141
76,T0068
77,T0063
78,T0002
79,T0151
80,T0074
81,T0153
82,T0003
83,T0146
84,T0152
85,T0113
86,T0101
87,T0012
88,T0005
89,T0134
90,T0041
91,T0117
92,T0025
93,T0123
94,T0130
95,T0013
96,T0127
97,T0015
98,T0105
99,T0138
100,T0122
101,T0091
102,T0078
103,T0040
104,T0098
105,T0136
106,T0109
107,T0115
108,T0056
109,T0043
110,T0106
111,T0102
112,T0036
113,T0016
114,T0157
115,T0042
116,T0099
117,T0061
118,T0022
119,T0143
120,T0047
121,T0096
122,T0147
123,T0001
124,T0045
125,T0072
126,T0009
127,T0154
128,T0044
129,T0028
130,T0094
131,T0027
132,T0076
133,T0019
134,T0083
135,T0060
136,T0125
137,T0007
138,T0026
139,T0038
140,T0064
141,T0033
142,T0111
143,T0092
144,T0126
145,T0021
146,T0067
147,T0037
148,T0114
149,T0017
150,T0035
151,T0137
152,T0119
153,T0139
154,T0121
155,T0032
156,T0049
157,T0086
158,T0052
159,T0055
160,T0120
