rank,test_id
1,T0092
2,T0019
3,T0015
4,T0112
5,T0021
6,T0145
7,T0057
8,T0069
9,T0017
10,T0065
11,T0095
12,T0113
13,T0050
14,T0083
15,T0135
16,T0055
17,T0142
18,T0132
19,T0158
20,T0067
21,T0008
22,T0047
23,T0062
24,T0101
25,T0111
26,T0068
27,T0020
28,T0022
29,T0105
30,T0143
31,T0146
32,T0109
33,T0128
34,T0097
35,T0106
36,T0010
37,T0156
38,T0034
39,T0049
40,T0044
41,T0108
42,T0134
43,T0114
44,T0122
45,T0058
46,T0102
47,T0100
48,T0056
49,T0133
50,T0012
51,T0003
52,T0116
53,T0051
54,T0038
55,T0018
56,T0028
57,T0033
58,T0138
59,T0040
60,T0045
61,T0043
62,T0150
63,T0098
64,T0121
65,T0070
66,T0031
67,T0029
68,T0030
69,T0002
70,T0089
71,T0066
72,T0027
73,T0110
74,T0004
75,T0039
76,T0155
77,T0131
78,T0074
79,T0076
80,T0063
81,T0001
82,T0023
83,T0077
84,T0103
85,T0072
86,T0090
87,T0126
88,T0087
89,T0041
90,T0054
91,T0123
92,T0152
93,T0125
94,T0005
95,T0013
96,T0147
97,T0148
98,T0127
99,T0059
100,T0124
101,T0137
102,T0136
103,T0094
104,T0052
105,T0073
106,T0139
107,T0093
108,T0032
109,T0026
110,T0071
111,T0006
112,T0140
113,T0141
114,T0046
115,T0080
116,T0075
117,T0149
118,T0120
119,T0037
120,T0153
121,T0096
122,T0009
123,T0081
124,T0007
125,T0082
126,T0014
127,T0084
128,T0144
129,T0117
130,T0035
131,T0088
132,T0160
133,T0036
134,T0107
135,T0064
136,T0011
137,T0016
138,T0099
139,T0157
140,T0048
141,T0091
142,T0078
143,T0042
144,T0130
145,T0119
146,T0159
147,T0151
148,T0053
149,T0024
150,T0104
151,T0085
152,T0154
153,T0086
154,T0118
155,T0129
156,T0060
157,T0061
158,T0025
159,T0115
160,T0079
