rank,test_id
1,T0140
2,T0033
3,T0150
4,T0119
5,T0087
6,T0135
7,T0099
8,T0153
9,T0032
10,T0130
11,T0021
12,T0155
13,T0090
14,T0058
15,T0160
16,T0059
17,T0005
18,T0068
19,T0127
20,T0105
21,T0117
22,T0123
23,T0053
24,T0060
25,T0139
26,T0037
27,T0035
28,T0075
29,T0159
30,T0073
31,T0009
32,T0071
33,T0111
34,T0146
35,T0145
36,T0011
37,T0151
38,T0048
39,T0088
40,T0057
41,T0027
42,T0018
43,T0034
44,T0118
45,T0020
46,T0101
47,T0024
48,T0136
49,T0085
50,T0014
51,T0080
52,T0132
53,T0143
54,T0043
55,T0016
56,T0133
57,T0074
58,T0044
59,T0051
60,T0100
61,T0134
62,T0113
63,T0031
64,T0142
65,T0093
66,T0078
67,T0082
68,T0095
69,T0062
70,T0126
71,T0067
72,T0029
73,T0116
74,T0052
75,T0086
76,T0061
77,T0038
78,T0104
79,T0129
80,T0026
81,T0006
82,T0066
83,T0072
84,T0007
85,T0013
86,T0131
87,T0002
88,T0137
89,T0098
90,T0022
91,T0103
92,T0056
93,T0083
94,T0096
95,T0110
96,T0154
97,T0069
98,T0106
99,T0008
100,T0109
101,T0041
102,T0152
103,T0156
104,T0065
105,T0049
106,T0147
107,T0028
108,T0125
109,T0047
110,T0042
111,T0063
112,T0046
113,T0001
114,T0030
115,T0121
116,T0144
117,T0138
118,T0102
119,T0019
120,T0114
121,T0079
122,T0012
123,T0115
124,T0064
125,T0084
126,T0128
127,T0124
128,T0157
129,T0094
130,T0017
131,T0120
132,T0092
133,T0015
134,T0112
135,T0077
136,T0070
137,T0036
138,T0045
139,T0148
140,T0158
141,T0122
142,T0040
143,T0003
144,T0025
145,T0081
146,T0004
147,T0054
148,T0076
149,T0107
150,T0141
151,T0089
152,T0097
153,T0039
154,T0010
155,T0023
156,T0050
157,T0149
158,T0091
159,T0108
160,T0055
